,userCode,userFileName,experimentName,sourceurl,response1,response2,item,trialnumber,frame,view,syllNum,fricative,animate,long,deviceName,localTime,age,gender
0,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,,,,,,,,,,,EIV,Mon+Oct+10+2016+17%3A21%3A54+GMT-0400+(EDT),19,male
1,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,gop,3,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A21%3A55+GMT-0400+(EDT),,
2,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,dak,4,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A21%3A55+GMT-0400+(EDT),,
3,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,fitash,5,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A21%3A56+GMT-0400+(EDT),,
4,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,rezik,6,undefined,warmup.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A21%3A56+GMT-0400+(EDT),,
5,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,dog,7,undefined,stimulus.ejs,,,,,EIV,Mon+Oct+10+2016+17%3A21%3A58+GMT-0400+(EDT),,
6,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,sapif,9,63,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A22%3A00+GMT-0400+(EDT),,
7,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,shobit,10,53,ro,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A22%3A01+GMT-0400+(EDT),,
8,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,zitav,11,55,ro,2,yes,no,none,EIV,Mon+Oct+10+2016+17%3A22%3A01+GMT-0400+(EDT),,
9,HJJ641,641,ChildrensPhonSem,http%253A%252F%252Flocalhost%253A8888%252FPhonSemExperigen%252Fweb%252F%253Fcondition%253D1,Continue--undefined,,fekob,12,47,ro,2,no,no,none,EIV,Mon+Oct+10+2016+17%3A22%3A01+GMT-0400+(EDT),,
