,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,CSE743,743,1,,,,,,,,,,,Wed+Oct+12+2016+18%3A19%3A06+GMT-0400+(EDT),20,none
1,CSE743,743,1,Continue,,gop,3,undefined,warmup.ejs,,,,,,Wed+Oct+12+2016+18%3A19%3A07+GMT-0400+(EDT),,
2,CSE743,743,1,Continue,,dak,4,undefined,warmup.ejs,,,,,,Wed+Oct+12+2016+18%3A19%3A07+GMT-0400+(EDT),,
3,CSE743,743,1,Continue,,fitash,5,undefined,warmup.ejs,,,,,,Wed+Oct+12+2016+18%3A19%3A07+GMT-0400+(EDT),,
4,CSE743,743,1,Continue,,rezik,6,undefined,warmup.ejs,,,,,,Wed+Oct+12+2016+18%3A19%3A08+GMT-0400+(EDT),,
5,CSE743,743,1,Continue,,dog,7,undefined,stimulus.ejs,,,,,,Wed+Oct+12+2016+18%3A19%3A09+GMT-0400+(EDT),,
6,CSE743,743,1,Continue,,sab,8,dog,ro,1,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A10+GMT-0400+(EDT),,
7,CSE743,743,1,Continue,,bezosh,9,bag,ek,2,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A10+GMT-0400+(EDT),,
8,CSE743,743,1,Continue,,besh,10,horse,ro,1,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A10+GMT-0400+(EDT),,
9,CSE743,743,1,sab,fikash-sab,sab,11,undefined,threeTrialsAgoTest.ejs,1,no,,,,Wed+Oct+12+2016+18%3A19%3A10+GMT-0400+(EDT),,
10,CSE743,743,1,Continue,,bepud,12,pillow,ek,2,no,no,none,,Wed+Oct+12+2016+18%3A19%3A11+GMT-0400+(EDT),,
11,CSE743,743,1,Continue,,fisod,13,knife,ek,2,no,no,none,,Wed+Oct+12+2016+18%3A19%3A11+GMT-0400+(EDT),,
12,CSE743,743,1,Continue,,tob,14,pigeon,ro,1,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A12+GMT-0400+(EDT),,
13,CSE743,743,1,Continue,,fudiz,15,skirt,ek,2,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A14+GMT-0400+(EDT),,
14,CSE743,743,1,Continue,,fis,16,zebra,ro,1,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A14+GMT-0400+(EDT),,
15,CSE743,743,1,Continue,,voguv,17,fan,ek,2,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A15+GMT-0400+(EDT),,
16,CSE743,743,1,Continue,,tusud,18,sunglass,ek,2,no,no,none,,Wed+Oct+12+2016+18%3A19%3A15+GMT-0400+(EDT),,
17,CSE743,743,1,zoshib,fis-zoshib,fis,19,undefined,threeTrialsAgoTest.ejs,2,no,,,,Wed+Oct+12+2016+18%3A19%3A15+GMT-0400+(EDT),,
18,CSE743,743,1,Continue,,pekiv,20,pen,ek,2,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A15+GMT-0400+(EDT),,
19,CSE743,743,1,Continue,,zup,21,cow,ro,1,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A15+GMT-0400+(EDT),,
20,CSE743,743,1,Continue,,kusud,22,car,ek,2,no,no,none,,Wed+Oct+12+2016+18%3A19%3A16+GMT-0400+(EDT),,
21,CSE743,743,1,Continue,,vesh,23,elephant,ro,1,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A16+GMT-0400+(EDT),,
22,CSE743,743,1,Continue,,kufis,24,pencil,ek,2,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A16+GMT-0400+(EDT),,
23,CSE743,743,1,Continue,,das,25,turtle,ro,1,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A16+GMT-0400+(EDT),,
24,CSE743,743,1,Continue,,biv,26,chicken,ro,1,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A17+GMT-0400+(EDT),,
25,CSE743,743,1,kufis,kufis-tesuf,kufis,27,undefined,threeTrialsAgoTest.ejs,1,yes,,,,Wed+Oct+12+2016+18%3A19%3A18+GMT-0400+(EDT),,
26,CSE743,743,1,Continue,,fid,28,penguin,ro,1,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A18+GMT-0400+(EDT),,
27,CSE743,743,1,Continue,,shik,29,rabbit,ro,1,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A19+GMT-0400+(EDT),,
28,CSE743,743,1,Continue,,kosh,30,monkey,ro,1,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A19+GMT-0400+(EDT),,
29,CSE743,743,1,Continue,,zebuz,31,scarf,ek,2,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A19+GMT-0400+(EDT),,
30,CSE743,743,1,Continue,,fekob,32,burger,ek,2,no,no,none,,Wed+Oct+12+2016+18%3A19%3A20+GMT-0400+(EDT),,
31,CSE743,743,1,Continue,,zab,33,giraffe,ro,1,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A20+GMT-0400+(EDT),,
32,CSE743,743,1,Continue,,zashot,34,spoon,ek,2,no,no,none,,Wed+Oct+12+2016+18%3A19%3A20+GMT-0400+(EDT),,
33,CSE743,743,1,ropufev,ro-ek,pufev,36,kangaroo,mytest.ejs,2,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A24+GMT-0400+(EDT),,
34,CSE743,743,1,vebutek,ek-ro,vebut,37,lion,mytest.ejs,2,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A25+GMT-0400+(EDT),,
35,CSE743,743,1,rosapik,ek-ro,sapik,38,watch,mytest.ejs,2,no,no,none,,Wed+Oct+12+2016+18%3A19%3A26+GMT-0400+(EDT),,
36,CSE743,743,1,guzek,ek-ro,guz,39,icecream,mytest.ejs,1,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A28+GMT-0400+(EDT),,
37,CSE743,743,1,shobitek,ek-ro,shobit,40,hammer,mytest.ejs,2,no,no,none,,Wed+Oct+12+2016+18%3A19%3A29+GMT-0400+(EDT),,
38,CSE743,743,1,kebek,ro-ek,keb,41,dragonfly,mytest.ejs,1,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A30+GMT-0400+(EDT),,
39,CSE743,743,1,rosof,ek-ro,sof,42,squirrel,mytest.ejs,1,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A31+GMT-0400+(EDT),,
40,CSE743,743,1,rotut,ro-ek,tut,43,lamp,mytest.ejs,1,no,no,none,,Wed+Oct+12+2016+18%3A19%3A32+GMT-0400+(EDT),,
41,CSE743,743,1,rokak,ro-ek,kak,44,washingmachine,mytest.ejs,1,no,no,none,,Wed+Oct+12+2016+18%3A19%3A33+GMT-0400+(EDT),,
42,CSE743,743,1,ropof,ro-ek,pof,45,microphone,mytest.ejs,1,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A34+GMT-0400+(EDT),,
43,CSE743,743,1,rodapus,ek-ro,dapus,46,ox,mytest.ejs,2,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A35+GMT-0400+(EDT),,
44,CSE743,743,1,zoshibek,ro-ek,zoshib,47,deer,mytest.ejs,2,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A36+GMT-0400+(EDT),,
45,CSE743,743,1,shesek,ro-ek,shes,48,crab,mytest.ejs,1,yes,yes,none,,Wed+Oct+12+2016+18%3A19%3A37+GMT-0400+(EDT),,
46,CSE743,743,1,tesufek,ro-ek,tesuf,49,key,mytest.ejs,2,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A38+GMT-0400+(EDT),,
47,CSE743,743,1,robok,ro-ek,bok,50,bear,mytest.ejs,1,no,yes,none,,Wed+Oct+12+2016+18%3A19%3A39+GMT-0400+(EDT),,
48,CSE743,743,1,rosapif,ro-ek,sapif,51,necklace,mytest.ejs,2,yes,no,none,,Wed+Oct+12+2016+18%3A19%3A41+GMT-0400+(EDT),,
49,,,,,,,,,,,,,,,
