,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,VXB576,576,s,,,,,,,,,,,Mon+Nov+28+2016+15%3A45%3A07+GMT-0500+(EST),,none
1,DRG577,577,s,,,,,,,,,,Mon+Nov+28+2016+15%3A45%3A36+GMT-0500+(EST),,none
2,ZXW578,578,s,,,,,,,,,,Mon+Nov+28+2016+15%3A45%3A39+GMT-0500+(EST),,none
3,KQB579,579,s,,,,,,,,,,Mon+Nov+28+2016+15%3A45%3A41+GMT-0500+(EST),,none
4,FHE603,603,s,,,,,,,,,,Mon+Nov+28+2016+16%3A04%3A59+GMT-0500+(EST),,none
5,FHE603,603,s,Continue,,fis,3,crab,jaVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A05%3A03+GMT-0500+(EST),,
6,FHE603,603,s,Continue,,kos,4,horse,jaVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A05%3A06+GMT-0500+(EST),,
7,FHE603,603,s,Continue,,pip,5,pig,jaVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A05%3A07+GMT-0500+(EST),,
8,FHE603,603,s,Continue,,kosh,6,chicken,jaVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A05%3A09+GMT-0500+(EST),,
9,FHE603,603,s,Continue,,duf,7,dog,jaVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A05%3A11+GMT-0500+(EST),,
10,FHE603,603,s,Continue,,zot,8,zebra,jaVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A05%3A13+GMT-0500+(EST),,
11,FHE603,603,s,Continue,,pof,9,136,jaVideoView.ejs,1,yes,,,Mon+Nov+28+2016+16%3A05%3A14+GMT-0500+(EST),,
12,FHE603,603,s,Continue,,dez,10,hippo,jaVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A05%3A15+GMT-0500+(EST),,
13,FHE603,603,s,Continue,,bok,11,lion,jaVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A05%3A16+GMT-0500+(EST),,
14,FHE603,603,s,Continue,,tob,12,elephant,jaVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A05%3A17+GMT-0500+(EST),,
15,FHE603,603,s,Continue,,sab,13,turtle,jaVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A05%3A18+GMT-0500+(EST),,
16,YHL604,604,s,,,,,,,,,,Mon+Nov+28+2016+16%3A05%3A28+GMT-0500+(EST),,none
17,YHL604,604,s,Continue,,sapish,3,penguin,ekVideoView.ejs,2,yes,yes,none,Mon+Nov+28+2016+16%3A05%3A30+GMT-0500+(EST),,
18,YHL604,604,s,Continue,,pefid,4,crab,ekVideoView.ejs,2,no,yes,none,Mon+Nov+28+2016+16%3A05%3A31+GMT-0500+(EST),,
19,YHL604,604,s,Continue,,disab,5,turtle,ekVideoView.ejs,2,no,yes,none,Mon+Nov+28+2016+16%3A05%3A33+GMT-0500+(EST),,
20,GVE605,605,s,,,,,,,,,,Mon+Nov+28+2016+16%3A05%3A36+GMT-0500+(EST),,none
21,GVE605,605,s,Continue,,shatoz,3,dog,jaVideoView.ejs,2,yes,yes,none,Mon+Nov+28+2016+16%3A05%3A38+GMT-0500+(EST),,
22,GVE605,605,s,Continue,,fisod,4,turtle,jaVideoView.ejs,2,no,yes,none,Mon+Nov+28+2016+16%3A05%3A39+GMT-0500+(EST),,
23,GVE605,605,s,Continue,,fekob,5,chicken,jaVideoView.ejs,2,no,yes,none,Mon+Nov+28+2016+16%3A05%3A40+GMT-0500+(EST),,
24,GVE605,605,s,Continue,,sapik,6,elephant,jaVideoView.ejs,2,no,yes,none,Mon+Nov+28+2016+16%3A05%3A42+GMT-0500+(EST),,
25,GVE605,605,s,Continue,,pekiv,7,136,jaVideoView.ejs,2,yes,,,Mon+Nov+28+2016+16%3A05%3A43+GMT-0500+(EST),,
26,GVE605,605,s,Continue,,zitav,8,bowl,jaPictureView.ejs,2,yes,no,none,Mon+Nov+28+2016+16%3A05%3A44+GMT-0500+(EST),,
27,GVE605,605,s,Continue,,tesuf,9,flashlight,jaPictureView.ejs,2,yes,none,yes,Mon+Nov+28+2016+16%3A05%3A45+GMT-0500+(EST),,
28,GVE605,605,s,Continue,,dapus,10,clock,jaPictureView.ejs,2,yes,none,no,Mon+Nov+28+2016+16%3A05%3A46+GMT-0500+(EST),,
29,GVE605,605,s,Continue,,zoshib,11,cup,jaPictureView.ejs,2,no,none,no,Mon+Nov+28+2016+16%3A05%3A47+GMT-0500+(EST),,
30,GVE605,605,s,Continue,,zebuz,12,baloon,jaPictureView.ejs,2,yes,none,no,Mon+Nov+28+2016+16%3A05%3A48+GMT-0500+(EST),,
31,GVE605,605,s,Continue,,shekef,13,chair,jaPictureView.ejs,2,yes,no,none,Mon+Nov+28+2016+16%3A05%3A49+GMT-0500+(EST),,
32,GVE605,605,s,Continue,,zif,14,crab,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A06%3A26+GMT-0500+(EST),,
33,GVE605,605,s,Continue,,piz,15,deer,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A06%3A28+GMT-0500+(EST),,
34,GVE605,605,s,Continue,,shap,16,cat,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A06%3A29+GMT-0500+(EST),,
35,GVE605,605,s,Continue,,guz,17,pig,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A06%3A30+GMT-0500+(EST),,
36,GVE605,605,s,Continue,,kosh,18,duck,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A06%3A31+GMT-0500+(EST),,
37,GVE605,605,s,Continue,,dak,19,giraffe,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A06%3A33+GMT-0500+(EST),,
38,GVE605,605,s,Continue,,vesh,20,hippo,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A06%3A34+GMT-0500+(EST),,
39,GVE605,605,s,Continue,,sab,21,horse,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A06%3A36+GMT-0500+(EST),,
40,GVE605,605,s,Continue,,dez,22,lion,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A06%3A37+GMT-0500+(EST),,
41,GVE605,605,s,Continue,,pip,23,zebra,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A06%3A38+GMT-0500+(EST),,
42,GVE605,605,s,Continue,,buf,24,penguin,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+16%3A06%3A41+GMT-0500+(EST),,
43,GVE605,605,s,Continue,,fut,25,rabbit,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+16%3A06%3A42+GMT-0500+(EST),,
