,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,BTU663,663,s,,,,,,,,,,,Tue+Nov+29+2016+05%3A02%3A29+GMT-0500+(EST),,none
1,XTW665,665,s,,,,,,,,,,Tue+Nov+29+2016+05%3A12%3A12+GMT-0500+(EST),19,male
2,JEF666,666,s,,,,,,,,,,Tue+Nov+29+2016+05%3A13%3A32+GMT-0500+(EST),,none
3,XLD673,673,s,,,,,,,,,,Tue+Nov+29+2016+09%3A15%3A07+GMT-0500+(EST),,none
4,XLD673,673,s,Continue,,pefid,3,crab,jaVideoView.ejs,2,no,yes,none,Tue+Nov+29+2016+09%3A15%3A10+GMT-0500+(EST),,
5,XLD673,673,s,Continue,,sab,4,zebra,jaVideoView.ejs,1,no,yes,none,Tue+Nov+29+2016+09%3A15%3A12+GMT-0500+(EST),,
6,XLD673,673,s,Continue,,gov,5,penguin,jaVideoView.ejs,1,yes,yes,none,Tue+Nov+29+2016+09%3A15%3A16+GMT-0500+(EST),,
7,XLD673,673,s,Continue,,sof,6,rabbit,jaVideoView.ejs,1,yes,yes,none,Tue+Nov+29+2016+09%3A15%3A18+GMT-0500+(EST),,
8,XLD673,673,s,Continue,,kufis,7,136,jaVideoView.ejs,2,yes,,,Tue+Nov+29+2016+09%3A15%3A24+GMT-0500+(EST),,
9,XLD673,673,s,Continue,,sapik,8,cat,jaVideoView.ejs,2,no,yes,none,Tue+Nov+29+2016+09%3A15%3A26+GMT-0500+(EST),,
10,OPR674,674,s,,,,,,,,,,Tue+Nov+29+2016+09%3A17%3A19+GMT-0500+(EST),,none
11,OPR674,674,s,Continue,,zek,3,baloon,jaPictureView.ejs,1,no,none,no,Tue+Nov+29+2016+09%3A17%3A22+GMT-0500+(EST),,
12,OPR674,674,s,Continue,,sod,4,book,jaPictureView.ejs,1,no,no,none,Tue+Nov+29+2016+09%3A17%3A23+GMT-0500+(EST),,
13,OPR674,674,s,Continue,,bosov,5,kettle,jaPictureView.ejs,2,yes,none,no,Tue+Nov+29+2016+09%3A17%3A23+GMT-0500+(EST),,
14,OPR674,674,s,Continue,,vub,6,lampshade,jaPictureView.ejs,1,no,none,no,Tue+Nov+29+2016+09%3A17%3A24+GMT-0500+(EST),,
15,OPR674,674,s,Continue,,fid,7,pen,jaPictureView.ejs,1,no,no,none,Tue+Nov+29+2016+09%3A17%3A25+GMT-0500+(EST),,
16,OPR674,674,s,Continue,,fosip,8,toothbrush,jaPictureView.ejs,2,no,none,yes,Tue+Nov+29+2016+09%3A17%3A26+GMT-0500+(EST),,
17,OPR674,674,s,Continue,,bezosh,9,cup,jaPictureView.ejs,2,yes,none,no,Tue+Nov+29+2016+09%3A17%3A27+GMT-0500+(EST),,
18,OPR674,674,s,Continue,,tusud,10,bed,jaPictureView.ejs,2,no,none,no,Tue+Nov+29+2016+09%3A17%3A28+GMT-0500+(EST),,
19,OPR674,674,s,Continue,,fisod,11,139,jaPictureView.ejs,2,no,none,,Tue+Nov+29+2016+09%3A17%3A28+GMT-0500+(EST),,
20,OPR674,674,s,Continue,,tikoz,12,clock,jaPictureView.ejs,2,yes,none,no,Tue+Nov+29+2016+09%3A17%3A29+GMT-0500+(EST),,
21,OPR674,674,s,Continue,,guz,13,chair,jaPictureView.ejs,1,yes,no,none,Tue+Nov+29+2016+09%3A17%3A29+GMT-0500+(EST),,
22,OPR674,674,s,tuja+zabja,ek-ja,zab,14,car,pictureTest.ejs,1,no,no,none,Tue+Nov+29+2016+09%3A17%3A31+GMT-0500+(EST),,
23,OPR674,674,s,Continue,,kufis,15,turtle,ekVideoView.ejs,2,yes,yes,none,Tue+Nov+29+2016+09%3A17%3A32+GMT-0500+(EST),,
24,OPR674,674,s,Continue,,sapish,16,rabbit,ekVideoView.ejs,2,yes,yes,none,Tue+Nov+29+2016+09%3A17%3A34+GMT-0500+(EST),,
25,OPR674,674,s,Continue,,piz,17,duck,ekVideoView.ejs,1,yes,yes,none,Tue+Nov+29+2016+09%3A17%3A36+GMT-0500+(EST),,
26,OPR674,674,s,Continue,,buf,18,lion,ekVideoView.ejs,1,yes,yes,none,Tue+Nov+29+2016+09%3A17%3A37+GMT-0500+(EST),,
27,TFQ675,675,s,,,,,,,,,,Tue+Nov+29+2016+09%3A18%3A10+GMT-0500+(EST),,none
28,CSB676,676,s,,,,,,,,,,Tue+Nov+29+2016+09%3A18%3A31+GMT-0500+(EST),,none
29,CSB676,676,s,Continue,,guz,3,rabbit,jaVideoView.ejs,1,yes,yes,none,Tue+Nov+29+2016+09%3A18%3A33+GMT-0500+(EST),,
30,CSB676,676,s,Continue,,tesuf,4,elephant,jaVideoView.ejs,2,yes,yes,none,Tue+Nov+29+2016+09%3A18%3A34+GMT-0500+(EST),,
