,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,ZSF430,430,h,,,,,,,,,,,Thu+Nov+17+2016+11%3A24%3A54+GMT-0500+(EST),99,male
1,ZSF430,430,h,Continue,,fekob,3,turtle,ekVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A24%3A56+GMT-0500+(EST),,
2,ZSF430,430,h,Continue,,piz,4,lion,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A24%3A57+GMT-0500+(EST),,
3,ZSF430,430,h,Continue,,pufev,5,giraffe,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+11%3A24%3A58+GMT-0500+(EST),,
4,ZSF430,430,h,Continue,,bosov,6,pig,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+11%3A24%3A58+GMT-0500+(EST),,
5,ZSF430,430,h,Continue,,pefid,7,elephant,ekVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A24%3A59+GMT-0500+(EST),,
6,ZSF430,430,h,Continue,,bok,8,tiger,ekVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A24%3A59+GMT-0500+(EST),,
7,ZSF430,430,h,Continue,,sof,9,penguin,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A25%3A00+GMT-0500+(EST),,
8,ZSF430,430,h,Continue,,tesuf,10,crab,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+11%3A25%3A01+GMT-0500+(EST),,
9,ZSF430,430,h,Continue,,vub,11,cat,ekVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A25%3A01+GMT-0500+(EST),,
10,ZSF430,430,h,Continue,,sapik,12,deer,ekVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A25%3A02+GMT-0500+(EST),,
11,ZSF430,430,h,Continue,,kusud,13,duck,ekVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A25%3A03+GMT-0500+(EST),,
12,IGD431,431,h,,,,,,,,,,Thu+Nov+17+2016+11%3A25%3A10+GMT-0500+(EST),,none
13,IGD431,431,h,Continue,,pisok,3,lampshade,ekPictureView.ejs,2,no,none,no,Thu+Nov+17+2016+11%3A25%3A11+GMT-0500+(EST),,
14,IGD431,431,h,Continue,,gov,4,bed,ekPictureView.ejs,1,yes,none,no,Thu+Nov+17+2016+11%3A25%3A11+GMT-0500+(EST),,
15,IGD431,431,h,Continue,,pefid,5,baloon,ekPictureView.ejs,2,no,none,no,Thu+Nov+17+2016+11%3A25%3A12+GMT-0500+(EST),,
16,IGD431,431,h,Continue,,zif,6,pillow,ekPictureView.ejs,1,yes,no,none,Thu+Nov+17+2016+11%3A25%3A12+GMT-0500+(EST),,
17,IGD431,431,h,Continue,,dezit,7,kettle,ekPictureView.ejs,2,no,none,no,Thu+Nov+17+2016+11%3A25%3A13+GMT-0500+(EST),,
18,IGD431,431,h,Continue,,tesuf,8,frisbee,ekPictureView.ejs,2,yes,none,no,Thu+Nov+17+2016+11%3A25%3A13+GMT-0500+(EST),,
19,IGD431,431,h,Continue,,fid,9,pen,ekPictureView.ejs,1,no,no,none,Thu+Nov+17+2016+11%3A25%3A14+GMT-0500+(EST),,
20,IGD431,431,h,Continue,,bok,10,chair,ekPictureView.ejs,1,no,no,none,Thu+Nov+17+2016+11%3A25%3A14+GMT-0500+(EST),,
21,IGD431,431,h,Continue,,zup,11,toothbrush,ekPictureView.ejs,1,no,no,none,Thu+Nov+17+2016+11%3A25%3A15+GMT-0500+(EST),,
22,IGD431,431,h,Continue,,pufev,12,basketball,ekPictureView.ejs,2,yes,none,no,Thu+Nov+17+2016+11%3A25%3A15+GMT-0500+(EST),,
23,IGD431,431,h,Continue,,zek,13,139,ekPictureView.ejs,1,no,none,,Thu+Nov+17+2016+11%3A25%3A15+GMT-0500+(EST),,
24,APM432,432,h,,,,,,,,,,Thu+Nov+17+2016+11%3A25%3A53+GMT-0500+(EST),,none
25,XHF434,434,h,,,,,,,,,,Thu+Nov+17+2016+11%3A26%3A00+GMT-0500+(EST),,none
26,XHF434,434,h,Continue,,bok,3,lion,jaVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A26%3A01+GMT-0500+(EST),,
27,XHF434,434,h,Continue,,dapus,4,136,jaVideoView.ejs,2,yes,,,Thu+Nov+17+2016+11%3A26%3A02+GMT-0500+(EST),,
28,XHF434,434,h,Continue,,bakas,5,chicken,jaVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+11%3A26%3A02+GMT-0500+(EST),,
29,XHF434,434,h,Continue,,disab,6,deer,jaVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A26%3A03+GMT-0500+(EST),,
30,XHF434,434,h,Continue,,vok,7,horse,jaVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A26%3A04+GMT-0500+(EST),,
31,XHF434,434,h,Continue,,zif,8,hippo,jaVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A26%3A05+GMT-0500+(EST),,
32,XHF434,434,h,Continue,,sab,9,turtle,jaVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A26%3A06+GMT-0500+(EST),,
33,XHF434,434,h,Continue,,besh,10,penguin,jaVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A26%3A07+GMT-0500+(EST),,
34,XHF434,434,h,Continue,,fep,11,pig,jaVideoView.ejs,,,yes,none,Thu+Nov+17+2016+11%3A26%3A08+GMT-0500+(EST),,
35,XHF434,434,h,Continue,,pof,12,duck,jaVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A26%3A09+GMT-0500+(EST),,
36,XHF434,434,h,Continue,,shobit,13,elephant,jaVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A26%3A10+GMT-0500+(EST),,
37,LPQ435,435,h,,,,,,,,,,Thu+Nov+17+2016+11%3A33%3A00+GMT-0500+(EST),3,female
38,LPQ435,435,h,Continue,,zot,3,frisbee,jaPictureView.ejs,1,no,none,no,Thu+Nov+17+2016+11%3A33%3A55+GMT-0500+(EST),,
39,LPQ435,435,h,Continue,,gov,4,pillow,jaPictureView.ejs,1,yes,no,none,Thu+Nov+17+2016+11%3A34%3A14+GMT-0500+(EST),,
40,LPQ435,435,h,Continue,,shap,5,baloon,jaPictureView.ejs,1,no,none,no,Thu+Nov+17+2016+11%3A34%3A44+GMT-0500+(EST),,
41,LPQ435,435,h,Continue,,kosh,6,139,jaPictureView.ejs,1,yes,none,,Thu+Nov+17+2016+11%3A34%3A55+GMT-0500+(EST),,
42,LPQ435,435,h,Continue,,sab,7,basket,jaPictureView.ejs,1,no,none,no,Thu+Nov+17+2016+11%3A35%3A08+GMT-0500+(EST),,
43,LPQ435,435,h,Continue,,kufis,8,chair,jaPictureView.ejs,2,yes,no,none,Thu+Nov+17+2016+11%3A35%3A23+GMT-0500+(EST),,
44,LPQ435,435,h,Continue,,shobit,9,pen,jaPictureView.ejs,2,no,no,none,Thu+Nov+17+2016+11%3A35%3A30+GMT-0500+(EST),,
45,LPQ435,435,h,Continue,,shik,10,lampshade,jaPictureView.ejs,1,no,none,no,Thu+Nov+17+2016+11%3A35%3A38+GMT-0500+(EST),,
46,LPQ435,435,h,Continue,,sapish,11,basketball,jaPictureView.ejs,2,yes,no,none,Thu+Nov+17+2016+11%3A35%3A52+GMT-0500+(EST),,
47,LPQ435,435,h,Continue,,shatoz,12,cup,jaPictureView.ejs,2,yes,none,no,Thu+Nov+17+2016+11%3A36%3A02+GMT-0500+(EST),,
48,LPQ435,435,h,Continue,,fekob,13,guitar,jaPictureView.ejs,2,no,no,none,Thu+Nov+17+2016+11%3A36%3A12+GMT-0500+(EST),,
49,LPQ435,435,h,tu,ek+disab-ek-ek-ja,disab,14,bowl,pictureTest.ejs,2,no,no,none,Thu+Nov+17+2016+11%3A36%3A42+GMT-0500+(EST),,
50,LPQ435,435,h,Continue,,tikoz,15,turtle,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+11%3A36%3A58+GMT-0500+(EST),,
51,LPQ435,435,h,Continue,,sof,16,lion,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A37%3A10+GMT-0500+(EST),,
52,LPQ435,435,h,Continue,,tusud,17,tiger,ekVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A37%3A20+GMT-0500+(EST),,
53,LPQ435,435,h,Continue,,vesh,18,horse,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A37%3A34+GMT-0500+(EST),,
54,LPQ435,435,h,Continue,,keb,19,elephant,ekVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A37%3A41+GMT-0500+(EST),,
55,LPQ435,435,h,Continue,,zif,20,pig,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A37%3A54+GMT-0500+(EST),,
56,LPQ435,435,h,Continue,,pisok,21,penguin,ekVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A38%3A06+GMT-0500+(EST),,
57,LPQ435,435,h,Continue,,shekef,22,zebra,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+11%3A38%3A18+GMT-0500+(EST),,
58,LPQ435,435,h,Continue,,fosip,23,rabbit,ekVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A38%3A28+GMT-0500+(EST),,
59,LPQ435,435,h,Continue,,kak,24,136,ekVideoView.ejs,1,no,,,Thu+Nov+17+2016+11%3A38%3A36+GMT-0500+(EST),,
60,LPQ435,435,h,Continue,,dapus,25,dog,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+11%3A38%3A50+GMT-0500+(EST),,
61,LPQ435,435,h,Continue,,pip,26,hippo,ekVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A38%3A57+GMT-0500+(EST),,
62,LPQ435,435,h,tuja+pekiv-ja,-ja-ek,pekiv,28,pillow,pictureTest.ejs,2,yes,no,none,Thu+Nov+17+2016+11%3A39%3A16+GMT-0500+(EST),,
63,LPQ435,435,h,tuja+bosov-ja,-ja-ek,bosov,29,baloon,pictureTest.ejs,2,yes,none,no,Thu+Nov+17+2016+11%3A39%3A26+GMT-0500+(EST),,
64,LPQ435,435,h,tuja+pipja,ek-ja,pip,30,cat,videoTest.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A39%3A37+GMT-0500+(EST),,
65,LPQ435,435,h,tuja+biv-ja,-ek-ja,biv,31,frisbee,pictureTest.ejs,1,yes,none,no,Thu+Nov+17+2016+11%3A39%3A45+GMT-0500+(EST),,
66,LPQ435,435,h,tuek+zebuzek,ek-ja,zebuz,32,137,videoTest.ejs,2,yes,,,Thu+Nov+17+2016+11%3A39%3A57+GMT-0500+(EST),,
67,LPQ435,435,h,tuek+sapik-ek,-ja-ek,sapik,33,139,pictureTest.ejs,2,no,none,,Thu+Nov+17+2016+11%3A40%3A07+GMT-0500+(EST),,
68,LPQ435,435,h,tuja+tobja,ja-ek,tob,34,deer,videoTest.ejs,1,no,yes,none,Thu+Nov+17+2016+11%3A40%3A33+GMT-0500+(EST),,
69,LPQ435,435,h,tuja+kifakja,ja-ek,kifak,35,duck,videoTest.ejs,2,no,yes,none,Thu+Nov+17+2016+11%3A40%3A45+GMT-0500+(EST),,
70,LPQ435,435,h,tuek+guzek,ja-ek,guz,36,crab,videoTest.ejs,1,yes,yes,none,Thu+Nov+17+2016+11%3A40%3A56+GMT-0500+(EST),,
71,LPQ435,435,h,tuek+sapif-ek,-ek-ja,sapif,37,bed,pictureTest.ejs,2,yes,none,no,Thu+Nov+17+2016+11%3A41%3A16+GMT-0500+(EST),,
72,LPQ435,435,h,tuja+fekob-ja,-ja-ek,fekob,38,basket,pictureTest.ejs,2,no,none,no,Thu+Nov+17+2016+11%3A41%3A31+GMT-0500+(EST),,
73,LPQ435,435,h,tuek+dazusek,ja-ek,dazus,39,giraffe,videoTest.ejs,2,yes,yes,none,Thu+Nov+17+2016+11%3A41%3A41+GMT-0500+(EST),,
74,,,,,,,,,,,,,,,
