,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,DEN163,163,h,Continue,,pof,1,hammer,jaPictureView.ejs,1,yes,no,none,Thu+Nov+17+2016+03%3A34%3A17+GMT-0500+(EST),,
1,GFA263,263,h,Continue,,fut,1,hammer,ekPictureView.ejs,1,no,no,none,Thu+Nov+17+2016+05%3A00%3A15+GMT-0500+(EST),,
2,QYM264,264,h,Continue,,fut,1,hammer,ekPictureView.ejs,1,no,no,none,Thu+Nov+17+2016+05%3A00%3A27+GMT-0500+(EST),,
3,BIY269,269,h,Continue,,fut,1,hammer,ekPictureView.ejs,1,no,no,none,Thu+Nov+17+2016+05%3A05%3A28+GMT-0500+(EST),,
4,BIY269,269,h,Continue,,fut,2,basket,ekPictureView.ejs,1,no,none,no,Thu+Nov+17+2016+05%3A05%3A29+GMT-0500+(EST),,
5,TRD274,274,h,Continue,,sab,1,penguin,ekVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+05%3A07%3A38+GMT-0500+(EST),,
6,TRD274,274,h,Continue,,besh,2,turtle,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+05%3A07%3A44+GMT-0500+(EST),,
7,TRD274,274,h,Continue,,zebuz,3,crab,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+05%3A07%3A55+GMT-0500+(EST),,
8,TRD274,274,h,Continue,,kosh,4,giraffe,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+05%3A08%3A00+GMT-0500+(EST),,
9,AAD275,275,h,Continue,,dazus,1,136,ekVideoView.ejs,2,yes,,,Thu+Nov+17+2016+05%3A12%3A49+GMT-0500+(EST),,
10,AAD275,275,h,Continue,,fisod,2,137,ekVideoView.ejs,2,no,,,Thu+Nov+17+2016+05%3A12%3A58+GMT-0500+(EST),,
11,AAD275,275,h,Continue,,shatoz,3,zebra,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+05%3A13%3A01+GMT-0500+(EST),,
12,AAD275,275,h,Continue,,zitav,4,penguin,ekVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+05%3A13%3A06+GMT-0500+(EST),,
13,AAD275,275,h,Continue,,zot,5,turtle,ekVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+05%3A13%3A08+GMT-0500+(EST),,
14,AAD275,275,h,Continue,,zif,6,duck,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+05%3A13%3A17+GMT-0500+(EST),,
15,AAD275,275,h,Continue,,suf,7,pig,ekVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+05%3A13%3A20+GMT-0500+(EST),,
16,IUE276,276,h,Continue,,duf,1,hippo,jaVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+05%3A14%3A26+GMT-0500+(EST),,
17,KDN279,279,h,Continue,,disab,1,crab,jaVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+05%3A21%3A00+GMT-0500+(EST),,
18,KDN279,279,h,Continue,,piz,2,deer,jaVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+05%3A21%3A01+GMT-0500+(EST),,
19,KDN279,279,h,Continue,,dazus,3,chicken,jaVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+05%3A21%3A02+GMT-0500+(EST),,
20,KDN279,279,h,Continue,,sapik,4,duck,jaVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+05%3A21%3A03+GMT-0500+(EST),,
21,KDN279,279,h,Continue,,zebuz,5,136,jaVideoView.ejs,2,yes,,,Thu+Nov+17+2016+05%3A21%3A05+GMT-0500+(EST),,
22,KDN279,279,h,Continue,,bok,6,horse,jaVideoView.ejs,1,no,yes,none,Thu+Nov+17+2016+05%3A21%3A06+GMT-0500+(EST),,
23,KDN279,279,h,Continue,,suf,7,pig,jaVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+05%3A21%3A07+GMT-0500+(EST),,
24,KDN279,279,h,Continue,,tesh,8,rabbit,jaVideoView.ejs,1,yes,yes,none,Thu+Nov+17+2016+05%3A21%3A08+GMT-0500+(EST),,
25,KDN279,279,h,Continue,,sapif,9,penguin,jaVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+05%3A21%3A09+GMT-0500+(EST),,
26,KDN279,279,h,Continue,,fekob,10,giraffe,jaVideoView.ejs,2,no,yes,none,Thu+Nov+17+2016+05%3A21%3A10+GMT-0500+(EST),,
27,KDN279,279,h,Continue,,voguv,11,dog,jaVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+05%3A21%3A11+GMT-0500+(EST),,
28,KDN279,279,h,Continue,,shatoz,12,tiger,jaVideoView.ejs,2,yes,yes,none,Thu+Nov+17+2016+05%3A21%3A12+GMT-0500+(EST),,
29,,,,,,,,,,,,,,,
