item	file_sg	file_pref	file_suff	syllNum	fric
zab	zab.mp3	rozab.mp3	zabek.mp3	1	no
vub	vub.mp3	rovub.mp3	vubek.mp3	1	no
sod	sod.mp3	rosod.mp3	sodek.mp3	1	no
fid	fid.mp3	rofid.mp3	fidek.mp3	1	no
dez	dez.mp3	rodez.mp3	dezek.mp3	1	yes
guz	guz.mp3	roguz.mp3	guzek.mp3	1	yes
kosh	kosh.mp3	rokosh.mp3	koshek.mp3	1	yes
tesh	tesh.mp3	rotesh.mp3	teshek.mp3	1	yes
dak	dak.mp3	rodak.mp3	dakek.mp3	1	no
kak	kak.mp3	rokak.mp3	kakek.mp3	1	no
gov	gov.mp3	rogov.mp3	govek.mp3	1	yes
biv	biv.mp3	robiv.mp3	bivek.mp3	1	yes
sof	sof.mp3	rosof.mp3	sofek.mp3	1	yes
buf	buf.mp3	robuf.mp3	bufek.mp3	1	yes
kos	kos.mp3	rokos.mp3	kosek.mp3	1	yes
shes	shes.mp3	roshes.mp3	shesek.mp3	1	yes
pip	pip.mp3	ropip.mp3	pipek.mp3	1	no
zup	zup.mp3	rozup.mp3	zupek.mp3	1	no
vesh	vesh.mp3	rovesh.mp3	veshek.mp3	1	yes
vok	vok.mp3	rovok.mp3	vokek.mp3	1	no
fis	fis.mp3	rofis.mp3	fisek.mp3	1	yes
fut	fut.mp3	rofut.mp3	futek.mp3	1	no
zif	zif.mp3	rozif.mp3	zifek.mp3	1	yes
zek	zek.mp3	rozek.mp3	zekek.mp3	1	no
sab	sab.mp3	rosab.mp3	sabek.mp3	1	no
suf	suf.mp3	rosuf.mp3	sufek.mp3	1	yes
bok	bok.mp3	robok.mp3	bokek.mp3	1	no
besh	besh.mp3	robesh.mp3	beshek.mp3	1	yes
pof	pof.mp3	ropof.mp3	pofek.mp3	1	yes
piz	piz.mp3	ropiz.mp3	pizek.mp3	1	yes
duf	duf.mp3	roduf.mp3	dufek.mp3	1	yes
das	das.mp3	rodas.mp3	dasek.mp3	1	yes
tob	tob.mp3	rotob.mp3	tobek.mp3	1	no
tut	tut.mp3	rotut.mp3	tutek.mp3	1	no
zot	zot.mp3	rozot.mp3	zotek.mp3	1	no
shik	shik.mp3	roshik.mp3	shikek.mp3	1	no
shap	shap.mp3	roshap.mp3	shapek.mp3	1	no
kiv	kiv.mp3	rokiv.mp3	kivek.mp3	1	yes
keb	keb.mp3	rokeb.mp3	kebek.mp3	1	no
disab	disab.mp3	rodisab.mp3	disabek.mp3	2	no
bepud	bepud.mp3	robepud.mp3	bepudek.mp3	2	no
fisod	fisod.mp3	rofisod.mp3	fisodek.mp3	2	no
dezosh	dezosh.mp3	rodezosh.mp3	dezoshek.mp3	2	yes
bakas	bakas.mp3	robakas.mp3	bakasek.mp3	2	yes
fudiz	fudiz.mp3	rofudiz.mp3	fudizek.mp3	2	yes
voguv	voguv.mp3	rovoguv.mp3	voguvek.mp3	2	yes
vebut	vebut.mp3	rovebut.mp3	vebutek.mp3	2	no
fosip	fosip.mp3	rofosip.mp3	fosipek.mp3	2	no
fekob	fekob.mp3	rofekob.mp3	fekobek.mp3	2	no
zoshib	zoshib.mp3	rozoshib.mp3	zoshibek.mp3	2	no
zitav	zitav.mp3	rozitav.mp3	zitavek.mp3	2	yes
soshuk	soshuk.mp3	rososhuk.mp3	soshukek.mp3	2	no
sapik	sapik.mp3	rosapik.mp3	sapikek.mp3	2	no
pefid	pefid.mp3	ropefid.mp3	pefidek.mp3	2	no
pisok	pisok.mp3	ropisok.mp3	pisokek.mp3	2	no
tikub	tikub.mp3	rotikub.mp3	tikubek.mp3	2	no
tesuf	tesuf.mp3	rotesuf.mp3	tesufek.mp3	2	yes
shatoz	shatoz.mp3	roshatoz.mp3	shatozek.mp3	2	yes
shekef	shekef.mp3	roshekef.mp3	shekefek.mp3	2	yes
kufis	kufis.mp3	rokufis.mp3	kufisek.mp3	2	yes
kozab	kozab.mp3	rokozab.mp3	kozabek.mp3	2	no
pufev	pufev.mp3	ropufev.mp3	pufevek.mp3	2	yes
bosov	bosov.mp3	robosov.mp3	bosovek.mp3	2	yes
sapif	sapif.mp3	rosapif.mp3	sapifek.mp3	2	yes
kusud	kusud.mp3	rokusud.mp3	kusudek.mp3	2	no
dazus	dazus.mp3	rodazus.mp3	dazusek.mp3	2	yes
tikoz	tikoz.mp3	rotikoz.mp3	tikozek.mp3	2	yes
dezit	dezit.mp3	rodezit.mp3	dezitek.mp3	2	no
shobit	shobit.mp3	roshobit.mp3	shobitek.mp3	2	no
sapish	sapish.mp3	rosapish.mp3	sapishek.mp3	2	yes
fikash	fikash.mp3	rofikash.mp3	fikashek.mp3	2	yes
zashot	zashot.mp3	rozashot.mp3	zashotek.mp3	2	no
pekiv	pekiv.mp3	ropekiv.mp3	pekivek.mp3	2	yes
bezosh	bezosh.mp3	robezosh.mp3	bezoshek.mp3	2	yes
dapus	dapus.mp3	rodapus.mp3	dapusek.mp3	2	yes
shufik	shufik.mp3	roshufik.mp3	shufikek.mp3	2	no
tusud	tusud.mp3	rotusud.mp3	tusudek.mp3	2	no
kifak	kifak.mp3	rokifak.mp3	kifakek.mp3	2	no
zebuz	zebuz.mp3	rozebuz.mp3	zebuzek.mp3	2	yes
fep
