id	item	file_sg	animate	long
1	giraffe	giraffe.jpg	yes	none
2	kangaroo	kangaroo.jpg	yes	none
3	lion	lion.jpg	yes	none
4	pig	pig.jpg	yes	none
5	rabbit	rabbit.jpg	yes	none
6	fox	fox.jpg	yes	none
7	cat	cat.jpg	yes	none
8	chicken	chicken.jpg	yes	none
9	goat	goat.jpg	yes	none
10	deer	deer.jpg	yes	none
11	dog	dog.jpg	yes	none
12	fish	fish.jpg	yes	none
13	cow	cow.jpg	yes	none
14	turtle	turtle.jpg	yes	none
15	hippo	hippo.jpg	yes	none
16	zebra	zebra.jpg	yes	none
17	squirrel	squirrel.jpg	yes	none
18	dragonfly	dragonfly.jpg	yes	none
19	crab	crab.jpg	yes	none
20	duck	duck.jpg	yes	none
21	monkey	monkey.jpg	yes	none
22	elephant	elephant.jpg	yes	none
23	tiger	tiger.jpg	yes	none
24	ant	ant.jpg	yes	none
25	swan	swan.jpg	yes	none
26	pigeon	pigeon.jpg	yes	none
27	penguin	penguin.jpg	yes	none
28	horse	horse.jpg	yes	none
29	bear	bear.jpg	yes	none
30	bee	bee.jpg	yes	none
31	camel	camel.jpg	yes	none
32	ox	ox.jpg	yes	none
33	chair	chair.jpg	no	none
34	lamp	lamp.jpg	no	none
35	microphone	microphone.jpg	no	none
36	pencil	pencil.jpg	no	none
37	burger	burger.jpg	no	none
38	book	book.jpg	no	none
39	skirt	skirt.jpg	no	none
40	bowl	bowl.jpg	no	none
41	mirror	mirror.jpg	no	none
42	bag	bag.jpg	no	none
43	scarf	scarf.jpg	no	none
44	key	key.jpg	no	none
45	car	car.jpg	no	none
46	headphone	headphone.jpg	no	none
47	sunglass	sunglass.jpg	no	none
48	washingmachine	washingmachine.jpg	no	none
49	pillow	pillow.jpg	no	none
50	basketball	basketball.jpg	no	none
51	spoon	spoon.jpg	no	none
52	necklace	necklace.jpg	no	none
53	bike	bike.jpg	no	none
54	knife	knife.jpg	no	none
55	umbrella	umbrella.jpg	no	none
56	watch	watch.jpg	no	none
57	comb	comb.jpg	no	none
58	guitar	guitar.jpg	no	none
59	icecream	icecream.jpg	no	none
60	plane	plane.jpg	no	none
61	pen	pen.jpg	no	none
62	toothbrush	toothbrush.jpg	no	none
63	fan	fan.jpg	no	none
64	hammer	hammer.jpg	no	none
65	knife	knife.jpg	none	yes
66	ruler	ruler.jpg	none	yes
67	flashlight	flashlight.jpg	none	yes
68	recorder	recorder.jpg	none	yes
70	paintbrush	paintbrush.jpg	none	yes
72	screwdriver	screwdriver.jpg	none	yes
73	hammer	hammer.jpg	none	yes
74	pencil	pencil.jpg	none	yes
75	telescope	telescope.jpg	none	yes
76	snorkel	snorkel.jpg	none	yes
77	toothpaste	toothpaste.jpg	none	yes
79	thermometer	thermometer.jpg	none	yes
84	comb	comb.jpg	none	yes
85	fishpole	fishpole.jpg	none	yes
86	shovel	shovel.jpg	none	yes
87	microphone	microphone.jpg	none	yes
88	sword	sword.jpg	none	yes
89	baseballbat	baseballbat.jpg	none	yes
91	spoon	spoon.jpg	none	yes
92	remotecontrol	remotecontrol.jpg	none	yes
93	pen	pen.jpg	none	yes
94	toothbrush	toothbrush.jpg	none	yes
95	walkingstick	walkingstick.jpg	none	yes
96	fork	fork.jpg	none	yes
97	pillow	pillow.jpg	none	no
98	drum	drum.jpg	none	no
99	clock	clock.jpg	none	no
100	cup	cup.jpg	none	no
101	magiccube	magiccube.jpg	none	no
102	purse	purse.jpg	none	no
103	fan	fan.jpg	none	no
104	frisbee	frisbee.jpg	none	no
105	refrigerator	refrigerator.jpg	none	no
106	soccer	soccer.jpg	none	no
107	driverwheel	driverwheel.jpg	none	no
108	basket	basket.jpg	none	no
109	baloon	baloon.jpg	none	no
110	wheel	wheel.jpg	none	no
111	bed	bed.jpg	none	no
112	book	book.jpg	none	no
113	washingmachine	washingmachine.jpg	none	no
114	kettle	kettle.jpg	none	no
115	plate	plate.jpg	none	no
116	trashcan	trashcan.jpg	none	no
117	mirror	mirror.jpg	none	no
118	television	television.jpg	none	no
119	basketball	basketball.jpg	none	no
120	toiletpaper	toiletpaper.jpg	none	no
121	lampshade	lampshade.jpg	none	no
123	bulb	bulb.jpg	none	no
124	computer	computer.jpg	none	no
126	bowl	bowl.jpg	none	no
127	cupboard	cupboard.jpg	none	no
128	microwaveoven	microwaveoven.jpg	none	no
136	bird
137	chicken
138	moose
139	lighthouse	lighthouse.jpg	none
