undefined,undefined,
kiv,NaN,
zot,NaN,
zif,NaN,
das,NaN,
zab,NaN,
fut,NaN,
gov,NaN,
buf,NaN,
sod,NaN,
pof,NaN,
shik,NaN,
guz,NaN,
tikub,NaN,
fosip,NaN,
sapik,NaN,
soshuk,NaN,
pisok,NaN,
bezosh,NaN,
shatoz,NaN,
voguv,NaN,
zebuz,NaN,
fikash,NaN,
shekef,NaN,
bakas,NaN,
undefined,undefined,
tesuf,pictureTest.ejs,
tob,pictureTest.ejs,
pefid,pictureTest.ejs,
zoshib,pictureTest.ejs,
bakas,pictureTest.ejs,
guz,pictureTest.ejs,
dezit,pictureTest.ejs,
fudiz,pictureTest.ejs,
kak,pictureTest.ejs,
dak,pictureTest.ejs,
tesh,pictureTest.ejs,
pip,pictureTest.ejs,
undefined,undefined,
,
